length,width,thickness,surfacearea,mass,compactness,hardness,shelltopradius,watercontent,carbohydratecontent,variety
11.67,12.8025,8.055074738,34.65,1375.5,0.93005,19.145,4.4604,0.048667685,0.175,c_avellana
13.86,13.0995,7.349906812,38.1,1439.55,0.93401,8.78,4.7844,0.048826089,0.167,c_avellana
20.53,15.5925,9.565426582,49.89,1623.3,0.96217,5.12,5.2893,0.049521325,0.174,c_americana
14.13,12.222,7.182948645,35.43,1412.25,0.90178,13.694,4.8168,0.049594663,0.167,c_avellana
15.85,14.724,8.622661318,43.29,1512,0.96261,10.925,4.6296,0.050384315,0.173,c_americana
21.11,17.4105,9.680494488,56.25,1698.9,0.98989,11.564,5.3928,0.050905478,0.17,c_cornuta
25.13,16.9785,9.931461322,60.48,1788.15,0.96085,4.73,5.5665,0.05098881,0.175,c_avellana
15.41,13.8285,8.078300047,39.96,1463.7,0.94743,20.105,4.896,0.051079693,0.172,c_avellana
16.09,14.211,8.16274649,42.03,1500.45,0.94875,5.651,4.6188,0.051662482,0.172,c_americana
19.78,16.173,9.75182248,51.78,1651.65,0.96393,12.617,5.2119,0.051698267,0.175,c_cornuta
22.19,16.578,9.920309777,56.16,1715.7,0.9691,5.564,5.4873,0.051753677,0.171,c_cornuta
11.8,11.835,7.190370284,32.46,1347.15,0.90816,13.559,4.5801,0.051917287,0.167,c_avellana
12.67,12.8115,7.957211022,36.15,1408.05,0.92576,13.964,4.5414,0.052316298,0.175,c_avellana
16.78,14.661,8.36394995,44.58,1540.35,0.95436,5.387,4.8159,0.052942112,0.175,c_americana
19.79,16.8975,9.552256412,54.9,1668.45,1.00188,7.511,5.3658,0.053145593,0.174,c_cornuta
15.16,13.7925,8.493575412,40.35,1472.1,0.94644,9.593,4.5873,0.05316132,0.169,c_americana
12.62,13.617,7.583930734,38.34,1424.85,0.95876,2.528,4.3038,0.053534027,0.168,c_americana
21.54,17.685,10.08375965,57.33,1707.3,0.99891,7.808,5.4711,0.053632816,0.171,c_cornuta
12.2,12.1185,7.042532981,33.54,1369.2,0.90926,8.996,4.5009,0.053825341,0.174,c_avellana
21.73,16.4295,9.962191063,54.81,1689.45,0.9757,6.329,5.5773,0.054702297,0.174,c_cornuta
14.51,12.9555,8.032617966,37.62,1435.35,0.92675,8.246,4.9419,0.054749949,0.166,c_avellana
12.24,13.3515,7.675903081,36.66,1398.6,0.95172,15.407,4.6989,0.05475062,0.17,c_avellana
14.39,14.3955,8.555908975,41.67,1472.1,0.9768,10.958,4.2642,0.054843719,0.166,c_americana
15.54,14.9985,9.318823312,44.64,1529.85,0.96921,2.054,4.4604,0.054866503,0.169,c_americana
9.84,14.1075,8.791853663,38.01,1398.6,0.98747,5.9,4.2705,0.054888833,0.167,c_avellana
12.5,12.0375,7.410269832,33.57,1370.25,0.90783,16.439,4.6971,0.054992029,0.168,c_avellana
23.15,17.829,9.985067802,60.72,1775.55,0.97867,16.703,5.5692,0.05512268,0.175,c_cornuta
16.74,15.453,8.644009428,47.34,1565.55,0.98153,15.779,4.6224,0.055197654,0.171,c_americana
19.8,16.9695,10.1220446,55.29,1676.85,0.99847,7.952,5.3145,0.055314833,0.175,c_cornuta
14.17,12.7665,8.000060327,36.45,1412.25,0.92873,9.914,4.8042,0.055338534,0.171,c_avellana
14.12,12.969,7.760023958,38.19,1443.75,0.93038,9.599,4.5603,0.055633783,0.172,c_americana
13.19,13.0365,7.864724394,37.32,1426.95,0.93082,13.772,4.743,0.055693119,0.171,c_avellana
17.01,15.2685,9.476821833,46.08,1549.8,0.97471,3.101,4.6188,0.055867923,0.168,c_americana
13.86,14.904,8.556407624,43.14,1492.05,0.98461,6.386,4.4604,0.056028863,0.166,c_americana
10.76,13.689,7.995471866,37.08,1384.95,0.98153,8.66,4.1445,0.056191072,0.17,c_americana
15.45,14.8095,9.050030813,44.37,1524.6,0.97009,7.112,4.5999,0.05687435,0.167,c_americana
12.26,13.7205,8.256022097,38.16,1424.85,0.95546,11.306,4.4226,0.057657046,0.175,c_americana
11.8,12.411,7.2185842,34.44,1370.25,0.93203,16.628,4.5018,0.057950369,0.174,c_avellana
10.9,12.4875,7.691875707,34.23,1359.75,0.9416,13.871,4.3425,0.058176667,0.167,c_avellana
14.72,13.473,7.608560127,39.21,1461.6,0.9328,14.912,4.8555,0.058405077,0.175,c_avellana
20.64,15.3135,8.914336865,51.96,1670.55,0.94589,10.472,5.3298,0.058438453,0.17,c_cornuta
11.4,12.5775,6.98960415,33.69,1352.4,0.93621,11.975,4.5027,0.058464919,0.168,c_avellana
22.45,17.1675,10.45596871,57.45,1727.25,0.9779,8.252,5.5665,0.058838096,0.174,c_cornuta
17.18,15.8625,9.116173069,49.23,1601.25,0.97526,11.651,5.0562,0.05892231,0.174,c_cornuta
22.59,16.8165,9.674444391,57.42,1744.05,0.95942,19.046,5.4477,0.059076494,0.166,c_cornuta
16.18,15.7815,9.251150881,47.64,1564.5,0.98868,1.2953,4.5819,0.059455195,0.174,c_americana
11.08,12.825,7.362560442,34.95,1372.35,0.94325,14.627,4.6215,0.059481271,0.171,c_avellana
13.95,13.815,8.106772596,39.66,1453.2,0.9548,11.471,4.5792,0.059650127,0.167,c_americana
14.82,14.013,7.845019517,41.22,1475.25,0.96184,7.796,4.3425,0.060124494,0.168,c_americana
15.69,14.1885,8.107844387,43.11,1510.95,0.95986,3.392,4.77,0.060149762,0.171,c_americana
17.09,15.6825,9.387166599,48.36,1575,0.99,5.81,4.8987,0.060595977,0.169,c_americana
13.17,11.916,7.475322687,32.37,1357.65,0.89177,15.386,4.6746,0.060652211,0.174,c_avellana
22.48,16.8975,9.483580139,56.85,1724.1,0.97119,9.104,5.5332,0.060790747,0.174,c_cornuta
12.36,13.5765,7.797966216,37.38,1408.05,0.95766,13.961,4.6323,0.060836436,0.167,c_avellana
13.97,14.841,8.427457722,42.84,1487.85,0.98384,19.055,4.5009,0.061081849,0.171,c_americana
12.05,15.597,9.16510172,44.1,1492.05,1.00683,4.301,4.1841,0.061291127,0.17,c_americana
11.59,13.644,8.079217898,36.33,1414.35,0.92312,3.506,4.0671,0.061467968,0.175,c_americana
21.52,17.127,10.0469195,56.55,1697.85,0.99616,7.529,5.58,0.061568937,0.17,c_cornuta
